Time,num_cases
511.5,622635
511.75,622635
512,622635
512.25,622635
512.5,622635
512.75,622635
513,622635
513.25,622635
513.5,622635
513.75,622635
514,622635
514.25,622635
514.5,622635
514.75,622635
515,622635
515.25,622635
515.5,622635
515.75,622635
516,622635
516.25,622635
516.5,622635
516.75,622635
517,622635
517.25,622635
517.5,622635
517.75,622635
518,622635
518.25,622635
518.5,622635
518.75,622635
519,622635
519.25,622635
519.5,622635
519.75,622635
520,622635
520.25,622635
520.5,622635
520.75,622635
521,622635
521.25,622635
521.5,622635
521.75,622635
522,622635
522.25,622635
522.5,622635
522.75,622635
523,622635
523.25,622635
523.5,622635
523.75,622635
524,622635
524.25,622635
524.5,622635
524.75,622635
525,622635
525.25,622635
525.5,622635
525.75,622635
526,622635
526.25,622635
526.5,622635
526.75,622635
527,622635
527.25,622635
527.5,622635
527.75,622635
528,622635
528.25,622635
528.5,622635
528.75,622635
529,622635
529.25,622635
529.5,622635
529.75,622635
530,622635
530.25,622635
530.5,622635
530.75,622635
531,622635
531.25,622635
531.5,622635
531.75,622635
532,622635
532.25,622635
532.5,622635
532.75,622635
533,622635
533.25,622635
533.5,622635
533.75,622635
534,622635
534.25,622635
534.5,622635
534.75,622635
535,622635
535.25,622635
535.5,622635
535.75,622635
536,622635
536.25,622635
536.5,622635
536.75,622635
537,622635
537.25,622635
537.5,622635
537.75,622635
538,622635
538.25,622635
